title,price,currency
Shop on eBay,20.0,$
Iphone 8 64GB USATO,124.0,EUR
Apple iPhone XR - 64/128/256 GB tutti i colori sbloccato incontaminato GRADO A+ *Face ID*,150.65,EUR
Apple iPhone SE 2022 3a Gen. - 64GB - Mezzanotte ECCELLENTE + GARANZIA 12 MESI,319.0,EUR
IPHONE 12 MINI 128GB BIANCO ECCELLENTE+ ACCESSORI E GARANZIA 12 MESI,399.0,EUR
Apple iPhone 14 5G 128GB Nuovo Originale Smartphone NERO Midnight,739.9,EUR
Apple iPhone 13 5G 128GB NUOVO Originale Smartphone NERO MEZZANOTTE,659.9,EUR
Apple iPhone XR - 128GB - Corallo (Sbloccato) (Dual SIM),110.0,EUR
Apple iPhone 14 Pro 5G 128GB Nuovo Originale Smartphone SILVER ARGENTO,979.9,EUR
Apple iPhone 14 5G 128GB Nuovo Originale Smartphone STARLIGHT Bianco,739.9,EUR
Apple iPhone X - 64 GB - grigio siderale - sbloccato - vedi descrizione,85.88,EUR
Apple iPhone 14 5G 128GB Nuovo Originale Smartphone NERO Midnight MPUF3,779.9,EUR
APPLE IPHONE XS 256 GB NERO,221.0,EUR
APPLE IPHONE 14 128GB STARLIGHT 5G MPUR3QL/A NUOVO GARANZIA ITALIA 24 MESI,725.99,EUR
Apple iPhone XR 64GB 128GB 256GB - Tutti Colori - Molto Buono,,EUR
APPLE IPHONE SE  2020 2GEN 64GB NERO ECCELLENTE + ACCESSORI E GARANZIA 12 MESI,179.0,EUR
"APPLE IPHONE 12 MINI 128GB NERO ECCELLENTE, GARANZIA 12 MESI + ACCESSORI",409.0,EUR
Apple iPhone 14 5G 128GB Nuovo Originale Smartphone BLUE Azzurro,739.9,EUR
APPLE IPHONE 12 MINI- 64 GB - 128GB - 256 GB ECCELLENTE,,EUR
Apple iPhone 13 mini 5G 128GB NUOVO Originale Smartphone NERO MEZZANOTTE,659.9,EUR
"Apple iPhone 14 Pro 15,5 cm (6.1"") Doppia SIM iOS 16 5G 128 GB Nero",999.0,EUR
Iphone 11 Pro,299.0,EUR
Apple iPhone 14 Pro 5G 128GB Nuovo Originale Smartphone GOLD ORO,979.9,EUR
Apple iPhone 14 5G 256GB Nuovo Originale Smartphone NERO Midnight MPVX3,869.9,EUR
Nuova inserzioneAPPLE IPHONE 12 MINI 128GB BLU ECCELLENTE,281.0,EUR
Nuova inserzioneApple iPhone 12 Pro - 128GB - Blu Pacifico (Sbloccato),550.0,EUR
Nuova inserzioneiphone 13 PRO 128GB NUOVO SOSTITUITO,461.0,EUR
Apple iPhone 14 Pro  - 256GB - Nero Siderale,50.0,EUR
Nuova inserzioneApple iPhone 12 Pro A2407 (CDMA | GSM) - 128 GB - grafite (senza SIM-lock)...,499.0,EUR
IPHONE 12 RICONDIZIONATO 64 256GB ECCELLENTE BIANCO NERO ROSSO BLU RIGENERATO,,EUR
"APPLE IPHONE 12 MINI 64GB BLU ECCELLENTE, GARANZIA 12 MESI + ACCESSORI",369.0,EUR
"APPLE IPHONE 7 32GB NERO RICONDIZIONATO ECCELLENTE, GARANZIA 12 MESI + ACCESSORI",119.0,EUR
APPLE IPHONE 8 64GB SPACE GRAY MQ6G2QL/A SMARTPHONE RICONDIZIONATO / BUONO,119.0,EUR
Apple iPhone 12 5G 128GB NUOVO Originale Smartphone iOS Black ,647.9,EUR
IPHONE XR 128 GB IN OTTIME CONDIZIONI + OMAGGI CUFFIE E CARICATORE BLUETOOTH +++,201.0,EUR
Nuova inserzioneiphone x da riparare o per ricambi,120.0,EUR
APPLE iPHONE 12 - 64 GB - 128GB - 256 GB MOLTO BUONO,,EUR
Nuova inserzioneApple iPhone 14 Plus 5G 128GB Originale Smartphone colore giallo,499.0,EUR
Apple iPhone X 64 e 256 - Back e Silver NO FACE ID,,EUR
"APPLE IPHONE 12 MINI 128GB BLU ECCELLENTE, GARANZIA 12 MESI + ACCESSORI",409.0,EUR
APPLE IPHONE X 64 GB Nero Black Condizione Eccellente -Ricondizionato,239.0,EUR
Apple iPhone 14 5G 128GB Nuovo Originale Smartphone GIALLO Yellow MR3X3,784.9,EUR
Apple iPhone XS Max - 64GB - Bianco,132.0,EUR
Apple iPhone 14 5G 128GB Nuovo Originale Smartphone PURPLE Viola MPV03,779.9,EUR
iPhone xs 256gb + batteria nuova originale,210.0,EUR
Nuova inserzioneiPhone 14 pro Grigio 128GB,500.0,EUR
Apple iPhone 13 mini 5G 128GB NUOVO Originale Smartphone VERDE GREEN,659.9,EUR
Nuova inserzioneApple iPhone 12 mini - 128GB - Bianco (Sbloccato),350.0,EUR
"Apple iPhone SE 2022 3a Gen. - 128GB - Nero Mezzanotte (Nuovo, garanzia Italia)",479.0,EUR
Apple Iphone SE 2020 - 128 Gb - Usato ma in ottime condizioni,55.0,EUR
Apple iPhone 13 mini 5G 256GB NUOVO Originale Smartphone NERO MEZZANOTTE,749.9,EUR
Nuova inserzioneApple iPhone 12 Pro - 128GB - Oro,550.0,EUR
Nuova inserzioneApple iPhone 11 128 GB - rosso *333 (sbloccato),197.74,EUR
APPLE IPHONE 12 RICONDIZIONATO 128GB ECCELLENTE BIANCO NERO ROSSO VERDE BLU,479.99,EUR
Apple iPhone 14 5G 128GB Nuovo Originale Smartphone BLUE Azzurro MPVN3,779.9,EUR
Apple iPhone 8 - 64GB - Grigio Siderale (Sbloccato),130.0,EUR
Apple iPhone 12 Pro Max - 128GB - Blu Pacifico (Sbloccato),182.0,EUR
Apple iPhone 12 5G 128GB NUOVO Originale Smartphone iOS Purple Viola,560.0,EUR
Nuova inserzioneApple iPhone 13 Pro - 128 Go - Bleu Alpin (Déverrouillé),647.9,EUR
APPLE IPHONE 14 PRO MAX 128GB TUTTI I COLORI 5G NUOVO GARANZIA ITALIA,550.0,EUR
Apple  iPhone XR - 64GB - Celeste Completo Tutto funzionante,,EUR
APPLE IPHONE 12 MINI 64GB BLU BUONO CON ACCESSORI E  GARANZIA 12 MESI,141.0,EUR
APPLE IPHONE SE 2020 GRADO RED BLACK WHITE ECCELLENTE,325.0,EUR
ninna trunk case (crazy),,EUR
APPLE iPHONE 12  PRO 128GB - 256GB - 512GB ECCELLENTE,3.62,EUR
Apple iPhone 12 Mini 64/128/256 GB sbloccato tutti i colori buone condizioni,,EUR
lotto iphone ,280.22,EUR
Apple iPhone 6 argento 64 GB - difettoso - problema sconosciuto - nessun danno da acqua,14.1,EUR
Iphone 13 mini 128g (locked),40.0,EUR
iphone xs - 64 Gb - Usato,6.21,EUR
Apple iPhone 8 64GB GRIGIO SIDERALE / SPACE GREY,234.5,EUR
Apple iPhone 11 Pro Max - 256GB - Oro,113.0,EUR
APPLE IPHONE 12 - 64 GB - 128GB - 256 GB BUONO,98.0,EUR
Nuova inserzioneiphone 13 pro max,320.0,EUR
APPLE iPhone SE 2.GEN 2020 NUOVO SIGILLATO Sbloccato Originale Garanzia 24 MESI,,EUR
BATTERIE INTERNE 0 CYCLE NEUVE POUR IPHONE 4S 5SE 6S 7 8 PLUS X 11 12 13 PRO MAX,61.5,EUR
Shop on eBay,20.0,$
"APPLE IPHONE 7 32GB NERO RICONDIZIONATO ECCELLENTE, GARANZIA 12 MESI + ACCESSORI",119.0,EUR
APPLE IPHONE X 64 GB Nero Black Condizione Eccellente -Ricondizionato,239.0,EUR
"APPLE IPHONE 12 MINI 128GB BLU ECCELLENTE, GARANZIA 12 MESI + ACCESSORI",409.0,EUR
